Station,#,Date,day,maxT,minT,mean_temp (degc),Goren daytemp (degc),EP Pan (mm),Goren dayEP_aero (mm),Goren dayEP_rad (mm),rain(mm),Goren_rain,windspeed(m/s),Goren_windspeed,Goren_dayNrad(J/m2/day),Nrad(J/m2/day),vpd(Pa),Goren_day VPD (Pa),rain_rate(mm/h),Nrad(cal/cmý/s),Rnrad,Rteta,Goren.mean.rainRate,Goren.mean.ETRate,,
Eilon,4441,01/02/2015,1,22.1,8.5,15.3,18.1,2.6,0.45,2.76,,0,,0.8,21962160,,,1390,,,0.45,0.8,0,0.291818182,,
Eilon,4441,02/02/2015,2,25.1,12.2,18.65,21,3.2,0.83,2.63,,0,,1.7,20037600,,,1690,,,0.4,0.8,0,0.314545455,,
Eilon,4441,03/02/2015,3,22.4,9,15.7,17.9,2.5,0.63,2.57,,0,,1.5,20663280,,,1290,,,0.45,0.8,0,0.290909091,,
Eilon,4441,04/02/2015,4,18.4,10.7,14.55,14.7,2.4,0.26,1.77,,0.1,,1.4,15067800,,,490,,,0.45,0.8,0,0.184545455,,
Eilon,4441,05/02/2015,5,20.3,8.7,14.5,17,2.5,0.33,2.72,,0,,0.9,21483000,,,900,,,0.4,0.8,0,0.277272727,,
Eilon,4441,06/02/2015,6,24.8,13.3,19.05,21.4,5.5,1.41,1.74,,0,,2.8,13990680,,,1870,,,0.45,0.8,0,0.286363636,,
Eilon,4441,07/02/2015,7,28,15.4,21.7,22.7,3.9,0.9,2.95,,0,,1.6,21859200,,,2030,,,0.45,0.8,0,0.35,,
Eilon,4441,08/02/2015,8,17.9,13,15.45,13.9,2.4,0.37,1.44,0.1,0,,2,12660120,,,500,,,0.4,0.8,0,0.164545455,,
Eilon,4441,09/02/2015,9,17.2,11.7,14.45,13,1.3,0.31,1.13,0.1,0.5,,2.4,10105920,,,350,,,0.45,0.8,0.02,0.130909091,,
Eilon,4441,10/02/2015,10,18.7,9.1,13.9,14.3,-,0.92,1.95,3,1,,3.3,16964640,,,820,,,0.45,0.9,0.04,0.260909091,,
Eilon,4441,11/02/2015,11,14.4,6.7,10.55,8.3,-,0.5,0.7,46.4,17.8,2.667,3.7,7159680,4914000,250,330,0.76,0.002585227,0.45,0.9,0.712,0.109090909,,0.012926135
Eilon,4441,12/02/2015,12,8.9,5.7,7.3,6.2,-,0.07,0.26,93.8,67.7,1.6,2.2,3227400,3873600,60,60,4.725,0.002037879,0.4,1,2.872,0.03,,0.010189395
Eilon,4441,13/02/2015,13,11.3,6.2,8.75,7.2,-10.9,0.12,0.65,22.3,40.6,1.5,2.4,6985440,4852800,100,120,2.19,0.00255303,0.45,1,1.696,0.07,,0.01276515
Eilon,4441,14/02/2015,14,14,6.9,10.45,10,-,0.17,1.33,2.2,5.7,,1.6,12612600,, ,240,,,0.45,1,0.232,0.136363636,,
Eilon,4441,15/02/2015,15,15,6.6,10.8,12.2,-,0.29,1.17,2.3,0.4,,1.1,10711800,,,640,,,0.4,1,0.016,0.132727273,,
Eilon,4441,16/02/2015,16,15.1,6.8,10.95,10.9,-,0.11,1.3,0.1,1.6,,0.8,11796840,,,290,,,0.45,1,0.076,0.128181818,,
Eilon,4441,17/02/2015,17,16.1,8.3,12.2,11.9,-,0.18,1.45,7.6,2.6,,1.3,13044240,,,320,,,0.45,1,0.104,0.148181818,,
Eilon,4441,18/02/2015,18,14.2,8.8,11.5,10.8,-,0.22,0.96,3,6.1,,2,9024840,,,270,,,0.4,1,0.244,0.107272727,,
Eilon,4441,19/02/2015,19,10.8,4.9,7.85,6.6,-,0.19,0.69,17.1,12.5,,2.5,7270560,,,170,,,0.45,1,0.508,0.08,,
Eilon,4441,20/02/2015,20,9,1.5,5.25,3.9,1.7,0.03,0.95,10.8,16,,0.9,10604880,,,60,,,0.433333333,1,0.64,0.089090909,,
Eilon,4441,21/02/2015,21,13.8,5.2,9.5,10.5,2.5,0.3,2.27,,0.1,,1.5,20683080,,,450,,,0.433333333,1,0,0.233636364,,
Eilon,4441,22/02/2015,22,15.9,5.2,10.55,12.3,2.2,0.23,1.99,,0,,0.8,17380440,,,590,,,0.433333333,1,0,0.201818182,,
Eilon,4441,23/02/2015,23,16,9.4,12.7,13.4,3.9,0.73,0.98,,0,,2.5,8902080,,,810,,,0.433333333,1,0,0.155454545,,
Eilon,4441,24/02/2015,24,18.7,14.9,16.8,15.7,4.3,1.23,0.71,6.3,5,,3.2,6534000,,,1200,,,0.433333333,1,0.2,0.176363636,,
Eilon,4441,25/02/2015,25,18.9,11.5,15.2,14.4,2.4,0.24,2.09,,2.8,,1.6,17039880,,,390,,,0.433333333,1,0.312,0.211818182,,
Eilon,4441,26/02/2015,26,22.2,9.4,15.8,18.4,5.8,0.94,3.43,,0.1,,2.8,25732080,,,1110,,,0.433333333,1,0,0.397272727,,
Eilon,4441,27/02/2015,27,24.6,16.6,20.6,20.2,6.7,1.51,2.92,,0,,3.5,22041360,,,1630,,,0.433333333,1,0,0.402727273,,
Eilon,4441,28/02/2015,28,20,12.2,16.1,14.9,2.7,0.24,2.2,,0,,1.5,17812080,,,430,,,0.433333333,1,0,0.221818182,,
